,state,vote,V201103,V201105,V201114,V201115,V201116,V201117,V201118,V201119,V201120,V201121,V201122,V201123,V201200,V201202,V201203,V201208,V201209,V201210,V201211,V201212,V201213,V201214,V201215,V201217,V201218,V201221,V201233,V201234,V201235,V201236,V201237,V201246,V201249,V201252,V201255,V201258,V201262,V201303,V201306,V201309,V201312,V201315,V201321,V201324,V201325,V201328,V201334,V201346,V201353,V201354,V201366,V201369,news,V201379,V201390,state covid,V201394,V201397,V201401,V201403,V201409,V201417,V201427,blm,V201430,V201433,V201435,V201502,V201503,V201507x,education,race,V201553,V201567,V201575,V201592,V201593,V201600,V201602,V201603,V201617x,V201620,V201626,V201627,V201628,V201639,V201640,V201651,recode education
0,40,Donald Trump,2,2,1,3,5,5,5,1,5,1,5,1,6,1,5,4,5,5,5,1,1,1,3,2,2,1,5,1,1,2,3,1,7,7,7,7,7,2,1,2,2,3,2,2,2,1,3,3,5,2,5,5,None,1,3,Far too strict,2,3,2,2,1,1,1,7,1,2,11,3,3,46,bachelor's,Hispanic,2,0,40,2,1,1,1,1,21,1,4,1,3,1,3,1,Bachelor's or more
1,51,Joe Biden,1,1,2,1,5,5,5,1,5,1,5,5,2,3,7,3,3,2,3,5,5,5,5,1,2,-1,4,1,1,3,4,6,1,2,4,3,1,1,2,3,1,1,1,4,3,3,1,1,5,1,5,5,A moderate amount,1,2,About right,1,1,1,1,2,4,2,4,2,3,11,3,3,40,HS,white,1,2,51,2,3,2,3,3,17,1,2,3,0,2,4,3,Less than bachelor's
2,6,Joe Biden,1,1,2,2,4,4,2,2,4,2,4,4,3,6,4,2,2,2,2,5,5,5,5,1,2,-1,3,1,2,4,2,7,4,1,7,99,1,1,3,1,3,1,3,4,3,2,2,1,2,3,4,4,A lot,2,2,Not quite strict enough,1,3,3,1,1,1,3,7,1,1,2,3,3,41,assoc.,Asian,3,1,6,2,3,1,1,1,7,1,2,4,0,3,3,1,Less than bachelor's
3,8,Donald Trump,2,1,2,4,4,3,3,3,4,4,3,3,5,1,4,4,4,5,5,3,2,2,3,2,1,-1,5,1,1,2,4,2,4,5,7,6,4,2,1,1,3,1,3,4,3,1,3,2,1,2,5,1,A little,1,3,Far too strict,1,1,3,1,1,2,1,7,1,4,12,3,3,72,prof.,Native,1,0,12,2,1,1,1,1,22,1,2,4,0,2,2,2,Bachelor's or more
4,48,Joe Biden,-1,2,2,1,5,5,5,1,5,1,5,5,4,3,6,2,1,2,1,5,5,5,5,1,1,2,4,1,1,2,2,99,99,3,4,3,99,1,2,3,3,1,1,3,2,1,2,1,3,3,5,2,A lot,1,2,Not nearly strict enough,1,1,1,3,2,3,1,1,2,3,10,3,3,71,some college,white,1,0,48,2,2,2,1,1,3,1,2,3,0,2,3,4,Less than bachelor's
5,55,Donald Trump,5,2,2,4,3,4,4,2,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,2,2,-1,4,1,1,2,4,7,7,1,7,7,5,1,1,1,1,1,3,4,2,2,2,2,3,3,3,3,A little,1,2,About right,2,1,1,1,1,2,1,1,3,5,1,5,2,37,assoc.,white,1,3,13,2,3,2,2,3,4,1,4,5,0,3,3,1,Less than bachelor's
6,-1,Donald Trump,-1,-1,1,4,1,1,1,4,1,4,1,1,99,5,5,5,5,5,5,2,2,2,2,2,2,-1,1,2,3,5,1,7,7,7,7,7,99,3,3,3,3,3,3,3,2,2,2,3,5,3,1,1,None,2,3,About right,3,3,3,3,2,1,4,7,3,5,12,5,5,45,HS,white,1,0,12,2,5,2,1,3,3,2,4,1,0,5,5,5,Less than bachelor's
7,24,Joe Biden,-1,-1,2,1,5,5,5,1,5,1,5,5,99,4,1,2,1,1,1,5,5,5,5,1,2,1,2,1,1,2,4,7,7,1,1,1,1,1,3,1,1,1,1,4,2,3,1,2,3,3,4,3,A moderate amount,2,2,Not nearly strict enough,2,1,1,1,1,3,1,1,1,1,1,2,1,37,HS,Hispanic,3,2,59,2,4,2,5,1,9,1,1,1,0,2,1,2,Less than bachelor's
8,55,Joe Biden,1,1,2,1,5,3,3,1,4,1,4,5,4,3,6,3,3,3,3,5,5,4,5,1,1,-1,3,1,1,4,3,99,99,6,4,7,1,1,3,1,3,3,3,3,2,3,2,1,3,3,3,3,A moderate amount,1,2,About right,1,1,3,1,2,3,2,Haven't thought much about this,3,2,11,1,1,55,HS,white,1,2,55,2,2,1,1,1,18,1,3,1,1,3,3,2,Less than bachelor's
9,-1,Donald Trump,-1,-1,2,2,5,5,5,1,5,2,4,4,6,2,6,5,5,5,5,2,2,2,2,2,2,-1,4,1,1,2,4,99,3,3,4,7,4,1,1,1,1,3,3,4,2,3,1,1,2,3,1,3,None,1,2,Somewhat too strict,3,1,1,1,1,1,1,Haven't thought much about this,1,4,3,4,3,30,HS,white,1,1,41,2,5,2,1,1,1,1,4,3,0,3,3,4,Less than bachelor's
